 Total Nb of available Diagnostics: ndiagt=   423
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
    99 |TOTSTEND|100 |       |SMR     MR|g/kg/day        |Tendency of Salinity
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |MoistCor|100 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   101 |gT_Forc |100 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   102 |gS_Forc |100 |       |SMR     MR|g/kg/s          |Salinity forcing tendency
   103 |AB_gT   |100 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   104 |AB_gS   |100 |       |SMR     MR|g/kg/s          |Salinity tendency from Adams-Bashforth
   105 |gTinAB  |100 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   106 |gSinAB  |100 |       |SMR     MR|g/kg/s          |Salinity tendency going in Adams-Bashforth
   107 |AB_gU   |100 |   108 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   108 |AB_gV   |100 |   107 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   109 |ADVr_TH |100 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   110 |ADVx_TH |100 |   111 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   111 |ADVy_TH |100 |   110 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   112 |DFrE_TH |100 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   113 |DFxE_TH |100 |   114 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   114 |DFyE_TH |100 |   113 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   115 |DFrI_TH |100 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   116 |ADVr_SLT|100 |       |WM      LR|g/kg.m^3/s      |Vertical   Advective Flux of Salinity
   117 |ADVx_SLT|100 |   118 |UU      MR|g/kg.m^3/s      |Zonal      Advective Flux of Salinity
   118 |ADVy_SLT|100 |   117 |VV      MR|g/kg.m^3/s      |Meridional Advective Flux of Salinity
   119 |DFrE_SLT|100 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Explicit part)
   120 |DFxE_SLT|100 |   121 |UU      MR|g/kg.m^3/s      |Zonal      Diffusive Flux of Salinity
   121 |DFyE_SLT|100 |   120 |VV      MR|g/kg.m^3/s      |Meridional Diffusive Flux of Salinity
   122 |DFrI_SLT|100 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Implicit part)
   123 |SALTFILL|100 |       |SM      MR|g/kg.m^3/s      |Filling of Negative Values of Salinity
   124 |VISCAHZ |100 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   125 |VISCA4Z |100 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   126 |VISCAHD |100 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   127 |VISCA4D |100 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   128 |VISCAHW |100 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   129 |VISCA4W |100 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   130 |VAHZMAX |100 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   131 |VA4ZMAX |100 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   132 |VAHDMAX |100 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   133 |VA4DMAX |100 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   134 |VAHZMIN |100 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   135 |VA4ZMIN |100 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   136 |VAHDMIN |100 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   137 |VA4DMIN |100 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   138 |VAHZLTH |100 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   139 |VA4ZLTH |100 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   140 |VAHDLTH |100 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   141 |VA4DLTH |100 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   142 |VAHZLTHD|100 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   143 |VA4ZLTHD|100 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   144 |VAHDLTHD|100 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   145 |VA4DLTHD|100 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   146 |VAHZSMAG|100 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   147 |VA4ZSMAG|100 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   148 |VAHDSMAG|100 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   149 |VA4DSMAG|100 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   150 |momKE   |100 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   151 |momHDiv |100 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   152 |momVort3|100 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   153 |Strain  |100 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   154 |Tension |100 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   155 |Stretch |100 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   156 |USidDrag|100 |   157 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   157 |VSidDrag|100 |   156 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   158 |Um_Diss |100 |   159 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   159 |Vm_Diss |100 |   158 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   160 |Um_ImplD|100 |   161 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   161 |Vm_ImplD|100 |   160 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   162 |Um_Advec|100 |   163 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   163 |Vm_Advec|100 |   162 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   164 |Um_Cori |100 |   165 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   165 |Vm_Cori |100 |   164 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   166 |Um_dPhiX|100 |   167 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   167 |Vm_dPhiY|100 |   166 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   168 |Um_Ext  |100 |   169 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   169 |Vm_Ext  |100 |   168 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   170 |Um_AdvZ3|100 |   171 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   171 |Vm_AdvZ3|100 |   170 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   172 |Um_AdvRe|100 |   173 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   173 |Vm_AdvRe|100 |   172 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   174 |botTauX |  1 |   175 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   175 |botTauY |  1 |   174 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   176 |ADVx_Um |100 |   177 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   177 |ADVy_Um |100 |   176 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   178 |ADVrE_Um|100 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   179 |ADVx_Vm |100 |   180 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   180 |ADVy_Vm |100 |   179 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   181 |ADVrE_Vm|100 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   182 |VISCx_Um|100 |   183 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   183 |VISCy_Um|100 |   182 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   184 |VISrE_Um|100 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   185 |VISrI_Um|100 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   186 |VISCx_Vm|100 |   187 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   187 |VISCy_Vm|100 |   186 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   188 |VISrE_Vm|100 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   189 |VISrI_Vm|100 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   190 |GM_VisbK|  1 |       |SM P    M1|m^2/s           |Mixing coefficient from Visbeck etal parameterization
   191 |GM_hTrsL|  1 |       |SM P    M1|m               |Base depth (>0) of the Transition Layer
   192 |GM_baseS|  1 |       |SM P    M1|1               |Slope at the base of the Transition Layer
   193 |GM_rLamb|  1 |       |SM P    M1|1/m             |Slope vertical gradient at Trans. Layer Base (=recip.Lambda)
   194 |SubMesLf|  1 |       |SM P    M1|m               |Sub-Meso horiz. Length Scale (Lf)
   195 |SubMpsiX|  1 |   196 |UU      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): U component
   196 |SubMpsiY|  1 |   195 |VV      M1|m^2/s           |Sub-Meso transp.stream-funct. magnitude (Psi0): V component
   197 |GM_Kux  |100 |   198 |UU P    MR|m^2/s           |K_11 element (U.point, X.dir) of GM-Redi tensor
   198 |GM_Kvy  |100 |   197 |VV P    MR|m^2/s           |K_22 element (V.point, Y.dir) of GM-Redi tensor
   199 |GM_Kuz  |100 |   200 |UU      MR|m^2/s           |K_13 element (U.point, Z.dir) of GM-Redi tensor
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |GM_Kvz  |100 |   199 |VV      MR|m^2/s           |K_23 element (V.point, Z.dir) of GM-Redi tensor
   201 |GM_Kwx  |100 |   202 |UM      LR|m^2/s           |K_31 element (W.point, X.dir) of GM-Redi tensor
   202 |GM_Kwy  |100 |   201 |VM      LR|m^2/s           |K_32 element (W.point, Y.dir) of GM-Redi tensor
   203 |GM_Kwz  |100 |       |WM P    LR|m^2/s           |K_33 element (W.point, Z.dir) of GM-Redi tensor
   204 |GM_PsiX |100 |   205 |UU      LR|m^2/s           |GM Bolus transport stream-function : U component
   205 |GM_PsiY |100 |   204 |VV      LR|m^2/s           |GM Bolus transport stream-function : V component
   206 |GM_KuzTz|100 |   207 |UU      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: X component
   207 |GM_KvzTz|100 |   206 |VV      MR|degC.m^3/s      |Redi Off-diagonal Temperature flux: Y component
   208 |GM_KwzTz|100 |       |WM      LR|degC.m^3/s      |Redi main-diagonal vertical Temperature flux
   209 |GM_ubT  |100 |   210 |UUr     MR|degC.m^3/s      |Zonal Mass-Weight Bolus Transp of Pot Temp
   210 |GM_vbT  |100 |   209 |VVr     MR|degC.m^3/s      |Meridional Mass-Weight Bolus Transp of Pot Temp
   211 |GM_BVPcW|  1 |   212 |SU P    M1|m/s             |WKB wave speed (at Western edge location)
   212 |GM_BVPcS|  1 |   211 |SV P    M1|m/s             |WKB wave speed (at Southern edge location)
   213 |TRAC01  |100 |       |SMR     MR|kg/kg           |pt24 concentration
   214 |UTRAC01 |100 |   215 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of pt24
   215 |VTRAC01 |100 |   214 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of pt24
   216 |WTRAC01 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of pt24
   217 |ForcTr01|100 |       |SMR     MR|kg/kg/s         |pt24 forcing tendency
   218 |AB_gTr01|100 |       |SMR     MR|kg/kg/s         |pt24 tendency from Adams-Bashforth
   219 |Tp_gTr01|100 |       |SMR     MR|kg/kg/s         |pt24 total transport tendency (before gchem_forcing_sep)
   220 |ADVrTr01|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of pt24
   221 |ADVxTr01|100 |   222 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of pt24
   222 |ADVyTr01|100 |   221 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of pt24
   223 |DFrETr01|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt24 (Explicit part)
   224 |DFxETr01|100 |   225 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of pt24
   225 |DFyETr01|100 |   224 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of pt24
   226 |DFrITr01|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt24 (Implicit part)
   227 |TRAC02  |100 |       |SMR     MR|kg/kg           |pt25 concentration
   228 |UTRAC02 |100 |   229 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of pt25
   229 |VTRAC02 |100 |   228 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of pt25
   230 |WTRAC02 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of pt25
   231 |ForcTr02|100 |       |SMR     MR|kg/kg/s         |pt25 forcing tendency
   232 |AB_gTr02|100 |       |SMR     MR|kg/kg/s         |pt25 tendency from Adams-Bashforth
   233 |Tp_gTr02|100 |       |SMR     MR|kg/kg/s         |pt25 total transport tendency (before gchem_forcing_sep)
   234 |ADVrTr02|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of pt25
   235 |ADVxTr02|100 |   236 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of pt25
   236 |ADVyTr02|100 |   235 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of pt25
   237 |DFrETr02|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt25 (Explicit part)
   238 |DFxETr02|100 |   239 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of pt25
   239 |DFyETr02|100 |   238 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of pt25
   240 |DFrITr02|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt25 (Implicit part)
   241 |TRAC03  |100 |       |SMR     MR|kg/kg           |pt34 concentration
   242 |UTRAC03 |100 |   243 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of pt34
   243 |VTRAC03 |100 |   242 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of pt34
   244 |WTRAC03 |100 |       |WM      MR|kg/kg.m/s       |Vert  Mass-Weighted Transp of pt34
   245 |ForcTr03|100 |       |SMR     MR|kg/kg/s         |pt34 forcing tendency
   246 |AB_gTr03|100 |       |SMR     MR|kg/kg/s         |pt34 tendency from Adams-Bashforth
   247 |Tp_gTr03|100 |       |SMR     MR|kg/kg/s         |pt34 total transport tendency (before gchem_forcing_sep)
   248 |ADVrTr03|100 |       |WM      LR|kg/kg.m^3/s     |Vertical   Advective Flux of pt34
   249 |ADVxTr03|100 |   250 |UU      MR|kg/kg.m^3/s     |Zonal      Advective Flux of pt34
   250 |ADVyTr03|100 |   249 |VV      MR|kg/kg.m^3/s     |Meridional Advective Flux of pt34
   251 |DFrETr03|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt34 (Explicit part)
   252 |DFxETr03|100 |   253 |UU      MR|kg/kg.m^3/s     |Zonal      Diffusive Flux of pt34
   253 |DFyETr03|100 |   252 |VV      MR|kg/kg.m^3/s     |Meridional Diffusive Flux of pt34
   254 |DFrITr03|100 |       |WM      LR|kg/kg.m^3/s     |Vertical Diffusive Flux of pt34 (Implicit part)
   255 |TRAC04  |100 |       |SMR     MR|kg/kg           |pt35 concentration
   256 |UTRAC04 |100 |   257 |UUr     MR|kg/kg.m/s       |Zonal Mass-Weighted Transp of pt35
   257 |VTRAC04 |100 |   256 |VVr     MR|kg/kg.m/s       |Merid Mass-Weighted Transp of pt35
